departamento,nombre,calificacion,ubicacion
Santa Cruz,Hotel La Casona,6,Av. Carlos Daher Harb S N Pasillo La Williams Pasillo la Williams Pasillo La WilliamsCamiri 
Pando,Dorado Hotel,6,Final Avenida Internacional 583 Cobija 
Pando,Estrella Del Norte,5,Calle Miguel Farah 48 Barrio Conavi CobijaCobijaPando 
Pando,Amazonia Hotel,4,Avenida 6 De Agosto Esquina Avenida PandoCobija 
Pando,Un Hotel,5,Leoncio Justiniano Montero Senac s/n Cobija 
Cochabamba,Monserrat,6,Street España # 342 between Mayor Rocha and EcuadorCochabamba 
Cochabamba,Hotel Hacienda de Kaluyo,10,"Tajra N777 , La Angostura Desvio a Tarata Km. 4CochabambaZona Kaluyo "
Cochabamba,Apart Hotel Regina,8,España 636 Entre Reza Y El Prado entre Reza y el pradoCochabamba 1321 
Cochabamba,La Colonia,6,Calle Mostajo Esq Atahuallpa 100 Cochabamba 
Cochabamba,Cesar s Plaza Hotel,6,Calle 25 De Mayo S 0210 Cochabamba 
Cochabamba,Gran Hotel Ambassador,8,Calle España 349 Entre Mayor Rocha Y Ecuador CentralCochabamba 
Cochabamba,Hotel Aranjuez Cochabamba,8,Calle Buenos Aires E563 P.O. Box 3056Cochabamba 
Cochabamba,Gran Hotel Toloma,6,Av. Oquendo N 690 Esquina Pedro Borda Esquina Pedro BordaCochabamba 9999 
Cochabamba,Hotel La Corona,8,Calle Jose de la Reza 433 Cochabamba 9999 
Cochabamba,Hotel Regina Resort & Convenciones,8,Prolongacion Calle Cochabamba Cochabamba 
Cochabamba,Regina Iii,4,CALLE NATANIEL AGUIRRE 718 COCHABAMBA 
Cochabamba,Hotel Diplomat,8,Av. Ballivian 611 P.O. Box 5824Cochabamba 
Cochabamba,Portales,8,AV PANDO 1271 ZONA RECOLETA COCHABAMBA 
Cochabamba,Americana Hotel,6,Esteban Arce 788 4910 Cochabamba 
Cochabamba,Gran Hotel Cochabamba,6,Plaza Ubaldo Anze La Recoleta S N RecoletaCochabamba 
Cochabamba,Felipez Hotel,6,Calle Espana Nro. 172 Entre Av. Heroinas Y C. Colombia Entre Avenida Heroínas y Calle ColombiaCochabamba 
Cochabamba,Adara Hotel,5,Calle Junín 867 Entre Teniente Arévalo y La Paz CentralCochabamba 
Cochabamba,Hotel Attridge,6,Av. Ballivian 0530 Acera EsteA Pocos Pasos De La Plaza ColónCochabamba 
Cochabamba,Hostal Olympic,6,Avenida Aniceto 766 Cochabamba 
Cochabamba,Hotel Tamesis,6,Calle Paccieri 684 Cochabamba 
Cochabamba,Hotel El Super 8,4,Hamiraya 475 Entre Jordan Y Calama Entre Jordan y CalamaCochabamba 9999 
Cochabamba,Apart Hotel Violettas,6,Calle Lanza Nº 0464 Entre Paccieri Y Venezuela Entre Paccieri Y Venezuela5914 Cochabamba 
Cochabamba,Outlanders Hostel,4,Avenida Salamanca 860 Cochabamba 
Cochabamba,Hotel Ginas,4,Mexico 346 Entre C. Espana Y C. 25 De Mayo Entre España y 25 de MayoCochabamba 
Cochabamba,Anteus,6,Avenida Potosi 1365 COCHABAMBA 
Cochabamba,Hotel Regina,6,Reza 359 Between Calle Spain and Prado (Central)Cochabamba 
